"volcano_number","volcano_name","primary_volcano_type","last_eruption_year","region","latitude","longitude","elevation","tectonic_settings","major_rock_1","num_eruptions"
264040,"Tambora","Stratovolcano",1967,"Indonesia",-8.25,118,2850,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",7
264050,"Sangeang Api","Complex",2020,"Indonesia",-8.2,119.07,1912,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",21
264071,"Ranakah","Lava dome",1991,"Indonesia",-8.62,120.52,2350,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
264080,"Inierie","Stratovolcano",-8050,"Indonesia",-8.875,120.95,2245,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",1
264090,"Inielika","Complex",2001,"Indonesia",-8.73,120.98,1559,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",2
264110,"Iya","Stratovolcano",1969,"Indonesia",-8.891,121.641,618,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",11
264140,"Kelimutu","Complex",1968,"Indonesia",-8.77,121.82,1639,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",3
264150,"Paluweh","Stratovolcano",2013,"Indonesia",-8.32,121.708,875,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",10
264180,"Lewotobi","Stratovolcano",2003,"Indonesia",-8.542,122.775,1703,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",24
264200,"Leroboleng","Complex",2003,"Indonesia",-8.365,122.833,1095,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",4
264220,"Iliboleng","Stratovolcano",1993,"Indonesia",-8.342,123.258,1659,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",20
264250,"Iliwerung","Complex",2013,"Indonesia",-8.53,123.57,1018,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",15
264270,"Sirung","Complex",2015,"Indonesia",-8.508,124.13,862,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",13
265070,"Serua","Stratovolcano",1921,"Indonesia",-6.312,130.017,608,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",12
265090,"Banda Api","Caldera",1988,"Indonesia",-4.523,129.881,596,"Subduction zone / Oceanic crust (< 15 km)","Dacite",27
266020,"Ambang","Complex",2005,"Indonesia",0.75,124.42,1795,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
266030,"Soputan","Stratovolcano",2020,"Indonesia",1.112,124.737,1785,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",41
266100,"Lokon-Empung","Stratovolcano",2015,"Indonesia",1.358,124.792,1580,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",31
266110,"Mahawu","Stratovolcano",1977,"Indonesia",1.352,124.865,1299,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
266130,"Tangkoko-Duasudara","Stratovolcano",1880,"Indonesia",1.518,125.185,1334,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
268010,"Dukono","Complex",2020,"Indonesia",1.693,127.894,1229,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",5
268030,"Ibu","Stratovolcano",2020,"Indonesia",1.488,127.63,1325,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",5
268040,"Gamkonora","Stratovolcano",2007,"Indonesia",1.38,127.53,1635,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",14
268060,"Gamalama","Stratovolcano",2018,"Indonesia",0.8,127.33,1715,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",87
271020,"Matutum","Stratovolcano",1290,"Philippines and SE Asia",6.37,125.07,2286,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",4
271031,"Leonard Range","Stratovolcano",120,"Philippines and SE Asia",7.382,126.047,1080,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
271080,"Camiguin","Stratovolcano",1953,"Philippines and SE Asia",9.203,124.673,1552,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",6
272020,"Kanlaon","Stratovolcano",2017,"Philippines and SE Asia",10.412,123.132,2435,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",31
272050,"Cabalían","Stratovolcano",1820,"Philippines and SE Asia",10.285,125.218,912,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
272080,"Biliran","Compound",1939,"Philippines and SE Asia",11.523,124.535,1301,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
273010,"Bulusan","Stratovolcano",2017,"Philippines and SE Asia",12.769,124.056,1535,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",24
273042,"Isarog","Stratovolcano",-3500,"Philippines and SE Asia",13.658,123.38,1966,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
273060,"San Pablo Volcanic Field","Stratovolcano",1350,"Philippines and SE Asia",14.12,121.3,1090,"Subduction zone / Continental crust (>25 km)","Trachyandesite / Basaltic Trachyandesite",1
273070,"Taal","Caldera",2020,"Philippines and SE Asia",14.002,120.993,311,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",36
273081,"Mariveles","Stratovolcano",-2050,"Philippines and SE Asia",14.527,120.482,1388,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
273083,"Pinatubo","Stratovolcano",1993,"Philippines and SE Asia",15.13,120.35,1486,"Subduction zone / Continental crust (>25 km)","Dacite",8
273090,"Cagua","Stratovolcano",1860,"Philippines and SE Asia",18.222,122.123,1133,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
274010,"Camiguin de Babuyanes","Stratovolcano",1857,"Philippines and SE Asia",18.83,121.86,712,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",1
274030,"Babuyan Claro","Stratovolcano",1924,"Philippines and SE Asia",19.523,121.94,1080,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",9
275001,"Hainan Volcanic Field","Pyroclastic cone",1933,"Philippines and SE Asia",19.905,110.229,196,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",2
275080,"Popa","Stratovolcano",-442,"Philippines and SE Asia",20.92,95.25,1518,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
275110,"Tengchong","Pyroclastic cone",-5750,"Philippines and SE Asia",25.23,98.5,2865,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",2
281032,"Tatun Volcanic Group","Lava dome",648,"Japan, Taiwan, Marianas",25.178,121.553,1120,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
282020,"Io-Torishima","Complex",1968,"Japan, Taiwan, Marianas",27.881,128.223,212,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",9
282021,"Yokoate-jima","Stratovolcano",1835,"Japan, Taiwan, Marianas",28.797,128.997,495,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",1
282030,"Suwanosejima","Stratovolcano",2020,"Japan, Taiwan, Marianas",29.638,129.714,796,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",27
282040,"Nakanoshima","Stratovolcano",1914,"Japan, Taiwan, Marianas",29.859,129.857,979,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",2
282043,"Kuchinoshima","Stratovolcano",1190,"Japan, Taiwan, Marianas",29.968,129.926,628,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",4
282050,"Kuchinoerabujima","Stratovolcano",2020,"Japan, Taiwan, Marianas",30.443,130.217,657,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",30
282060,"Kikai","Caldera",2020,"Japan, Taiwan, Marianas",30.793,130.305,704,"Subduction zone / Oceanic crust (< 15 km)","Rhyolite",25
282070,"Ata","Caldera",885,"Japan, Taiwan, Marianas",31.22,130.57,924,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",27
282080,"Aira","Caldera",2020,"Japan, Taiwan, Marianas",31.593,130.657,1117,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",54
282081,"Yonemaru-Sumiyoshiike","Maar",-6200,"Japan, Taiwan, Marianas",31.771,130.592,40,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",2
282090,"Kirishimayama","Shield",2018,"Japan, Taiwan, Marianas",31.934,130.862,1700,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",85
282091,"Fukue","Shield",-400,"Japan, Taiwan, Marianas",32.657,128.849,315,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",1
282100,"Unzendake","Complex",1996,"Japan, Taiwan, Marianas",32.761,130.299,1483,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",15
282110,"Asosan","Caldera",2020,"Japan, Taiwan, Marianas",32.884,131.104,1592,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",186
282120,"Kujusan","Stratovolcano",1996,"Japan, Taiwan, Marianas",33.086,131.249,1791,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",14
282130,"Yufu-Tsurumi","Lava dome",867,"Japan, Taiwan, Marianas",33.282,131.39,1584,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
283001,"Abu","Shield",-6850,"Japan, Taiwan, Marianas",34.5,131.6,641,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
283002,"Sanbesan","Stratovolcano",650,"Japan, Taiwan, Marianas",35.141,132.622,1126,"Subduction zone / Continental crust (>25 km)","Dacite",3
283010,"Izu-Tobu","Pyroclastic cone",1989,"Japan, Taiwan, Marianas",34.9,139.098,1406,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",7
283020,"Hakoneyama","Complex",2015,"Japan, Taiwan, Marianas",35.233,139.021,1438,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",8
283030,"Fujisan","Stratovolcano",1708,"Japan, Taiwan, Marianas",35.361,138.728,3776,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",67
283031,"Yokodake","Stratovolcano",1200,"Japan, Taiwan, Marianas",36.087,138.32,2480,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
283040,"Ontakesan","Complex",2014,"Japan, Taiwan, Marianas",35.893,137.48,3067,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",5
283050,"Hakusan","Stratovolcano",1659,"Japan, Taiwan, Marianas",36.155,136.771,2702,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",26
283060,"Norikuradake","Stratovolcano",-50,"Japan, Taiwan, Marianas",36.106,137.554,3026,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
283070,"Yakedake","Stratovolcano",1995,"Japan, Taiwan, Marianas",36.227,137.587,2455,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",38
283080,"Midagahara","Stratovolcano",1839,"Japan, Taiwan, Marianas",36.571,137.59,2621,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
283090,"Niigata-Yakeyama","Lava dome",1998,"Japan, Taiwan, Marianas",36.921,138.036,2400,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",20
283100,"Myokosan","Stratovolcano",-750,"Japan, Taiwan, Marianas",36.891,138.114,2454,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",10
283110,"Asamayama","Complex",2019,"Japan, Taiwan, Marianas",36.406,138.523,2568,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",147
283120,"Kusatsu-Shiranesan","Stratovolcano",2018,"Japan, Taiwan, Marianas",36.618,138.528,2165,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",31
283122,"Harunasan","Stratovolcano",550,"Japan, Taiwan, Marianas",36.477,138.851,1449,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
283131,"Hiuchigatake","Stratovolcano",1544,"Japan, Taiwan, Marianas",36.955,139.285,2356,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
283140,"Nikko-Shiranesan","Shield",1952,"Japan, Taiwan, Marianas",36.799,139.376,2578,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",12
283141,"Nantaisan","Stratovolcano",-9540,"Japan, Taiwan, Marianas",36.765,139.491,2486,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
283142,"Omanago Group","Lava dome",-3050,"Japan, Taiwan, Marianas",36.795,139.507,2341,"Subduction zone / Continental crust (>25 km)","Dacite",1
283143,"Takaharayama","Stratovolcano",-4570,"Japan, Taiwan, Marianas",36.9,139.777,1795,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
283150,"Nasudake","Stratovolcano",1963,"Japan, Taiwan, Marianas",37.125,139.963,1915,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",21
283151,"Numazawa","Shield",-3400,"Japan, Taiwan, Marianas",37.444,139.566,835,"Subduction zone / Continental crust (>25 km)","Dacite",1
283160,"Bandaisan","Stratovolcano",1888,"Japan, Taiwan, Marianas",37.601,140.072,1816,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",14
283170,"Adatarayama","Stratovolcano",1996,"Japan, Taiwan, Marianas",37.647,140.281,1728,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",13
283180,"Azumayama","Stratovolcano",1977,"Japan, Taiwan, Marianas",37.735,140.244,1949,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",24
283190,"Zaozan [Zaosan]","Complex",1940,"Japan, Taiwan, Marianas",38.144,140.44,1841,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",52
283200,"Naruko","Caldera",837,"Japan, Taiwan, Marianas",38.729,140.734,470,"Subduction zone / Continental crust (>25 km)","Rhyolite",5
283210,"Kurikomayama","Stratovolcano",1950,"Japan, Taiwan, Marianas",38.961,140.788,1627,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",8
283220,"Chokaisan","Stratovolcano",1974,"Japan, Taiwan, Marianas",39.099,140.049,2236,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",32
283230,"Akita-Komagatake","Stratovolcano",1971,"Japan, Taiwan, Marianas",39.761,140.799,1637,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",18
283240,"Iwatesan","Complex",1919,"Japan, Taiwan, Marianas",39.853,141.001,2038,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",31
283250,"Hachimantai","Stratovolcano",-5350,"Japan, Taiwan, Marianas",39.958,140.854,1613,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
283260,"Akita-Yakeyama","Stratovolcano",1997,"Japan, Taiwan, Marianas",39.964,140.757,1366,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",17
283262,"Megata","Maar",-2050,"Japan, Taiwan, Marianas",39.95,139.73,291,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
283270,"Iwakisan","Stratovolcano",1863,"Japan, Taiwan, Marianas",40.656,140.303,1625,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",29
283271,"Towada","Caldera",915,"Japan, Taiwan, Marianas",40.51,140.88,1011,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",8
283280,"Hakkodasan","Stratovolcano",1550,"Japan, Taiwan, Marianas",40.659,140.877,1585,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
283290,"Osorezan","Stratovolcano",1787,"Japan, Taiwan, Marianas",41.279,141.12,878,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
284010,"Izu-Oshima","Stratovolcano",1990,"Japan, Taiwan, Marianas",34.724,139.394,758,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",108
284011,"Toshima","Stratovolcano",-4550,"Japan, Taiwan, Marianas",34.52,139.279,508,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",1
284020,"Niijima","Lava dome",886,"Japan, Taiwan, Marianas",34.397,139.27,432,"Subduction zone / Oceanic crust (< 15 km)","Rhyolite",5
284030,"Kozushima","Lava dome",838,"Japan, Taiwan, Marianas",34.219,139.153,572,"Subduction zone / Oceanic crust (< 15 km)","Rhyolite",5
284040,"Miyakejima","Stratovolcano",2010,"Japan, Taiwan, Marianas",34.094,139.526,775,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",40
284041,"Mikurajima","Stratovolcano",-4100,"Japan, Taiwan, Marianas",33.874,139.602,851,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",2
284050,"Hachijojima","Stratovolcano",1606,"Japan, Taiwan, Marianas",33.137,139.766,854,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",19
284060,"Aogashima","Stratovolcano",1785,"Japan, Taiwan, Marianas",32.458,139.759,423,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",7
284070,"Myojinsho","Submarine",1970,"Japan, Taiwan, Marianas",31.888,139.918,11,"Subduction zone / Oceanic crust (< 15 km)","Dacite",23
284080,"Sumisujima","Submarine",1916,"Japan, Taiwan, Marianas",31.44,140.051,136,"Subduction zone / Oceanic crust (< 15 km)","Dacite",24
284090,"Izu-Torishima","Stratovolcano",2002,"Japan, Taiwan, Marianas",30.484,140.303,394,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",7
284100,"Kaitoku Seamount","Submarine",1984,"Japan, Taiwan, Marianas",26.127,141.102,-95,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",4
284110,"Kita-Ioto","Stratovolcano",1945,"Japan, Taiwan, Marianas",25.424,141.284,792,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",19
284120,"Ioto","Caldera",2012,"Japan, Taiwan, Marianas",24.751,141.289,169,"Subduction zone / Crustal thickness unknown","Trachyandesite / Basaltic Trachyandesite",23
284131,"Minami-Hiyoshi","Submarine",1975,"Japan, Taiwan, Marianas",23.5,141.935,-107,"Subduction zone / Crustal thickness unknown","Trachyandesite / Basaltic Trachyandesite",6
284140,"Farallon de Pajaros","Stratovolcano",1967,"Japan, Taiwan, Marianas",20.546,144.893,337,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",18
284141,"Ahyi","Submarine",2014,"Japan, Taiwan, Marianas",20.42,145.03,-75,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",3
284150,"Asuncion","Stratovolcano",1906,"Japan, Taiwan, Marianas",19.671,145.406,857,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",7
284160,"Agrigan","Stratovolcano",1917,"Japan, Taiwan, Marianas",18.77,145.67,965,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",1
284170,"Pagan","Stratovolcano",2012,"Japan, Taiwan, Marianas",18.13,145.8,570,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",24
284200,"Anatahan","Stratovolcano",2008,"Japan, Taiwan, Marianas",16.35,145.67,790,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",4
284211,"NW Rota-1","Submarine",2010,"Japan, Taiwan, Marianas",14.601,144.775,-517,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",1
285010,"Oshima-Oshima","Stratovolcano",1790,"Japan, Taiwan, Marianas",41.51,139.367,732,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",6
285011,"Esan","Lava dome",1874,"Japan, Taiwan, Marianas",41.805,141.166,618,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",8
285020,"Hokkaido-Komagatake","Stratovolcano",2000,"Japan, Taiwan, Marianas",42.063,140.677,1131,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",24
285030,"Toya","Stratovolcano",2001,"Japan, Taiwan, Marianas",42.544,140.839,733,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",14
285031,"Niseko","Stratovolcano",-4900,"Japan, Taiwan, Marianas",42.875,140.659,1308,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
285032,"Yoteizan","Stratovolcano",-1050,"Japan, Taiwan, Marianas",42.827,140.812,1888,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
285034,"Kuttara","Stratovolcano",1820,"Japan, Taiwan, Marianas",42.491,141.16,549,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",3
285040,"Shikotsu","Caldera",1979,"Japan, Taiwan, Marianas",42.688,141.38,1320,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",43
285050,"Tokachidake","Stratovolcano",2004,"Japan, Taiwan, Marianas",43.418,142.686,2077,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",28
285060,"Taisetsuzan","Stratovolcano",1739,"Japan, Taiwan, Marianas",43.664,142.854,2291,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",5
285061,"Maruyama","Stratovolcano",1898,"Japan, Taiwan, Marianas",43.418,143.031,2013,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
285070,"Akan","Caldera",2008,"Japan, Taiwan, Marianas",43.384,144.013,1499,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",37
285080,"Kussharo","Caldera",1320,"Japan, Taiwan, Marianas",43.615,144.427,574,"Subduction zone / Continental crust (>25 km)","Dacite",6
285081,"Mashu","Caldera",1080,"Japan, Taiwan, Marianas",43.572,144.561,857,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
285090,"Shiretoko-Iozan","Stratovolcano",1936,"Japan, Taiwan, Marianas",44.133,145.161,1562,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
290010,"Tomariyama [Golovnin]","Caldera",1848,"Kuril Islands",43.844,145.504,535,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",3
290020,"Raususan [Mendeleev]","Stratovolcano",1880,"Kuril Islands",43.979,145.733,882,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",3
290030,"Chachadake [Tiatia]","Stratovolcano",1981,"Kuril Islands",44.353,146.252,1822,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",6
290050,"Etorofu-Atosanupuri [Atosanupuri]","Stratovolcano",1932,"Kuril Islands",44.808,147.131,1206,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",2
290070,"Etorofu-Yakeyama [Grozny Group]","Complex",2013,"Kuril Islands",45.012,147.871,1158,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",7
290080,"Sashiusudake [Baransky]","Stratovolcano",1951,"Kuril Islands",45.1,148.019,1125,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",3
290090,"Chirippusan [Chirip]","Stratovolcano",1860,"Kuril Islands",45.338,147.92,1587,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",2
290100,"Moyorodake [Medvezhia]","Stratovolcano",1999,"Kuril Islands",45.389,148.838,1124,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",6
290120,"Kolokol Group","Stratovolcano",1973,"Kuril Islands",46.042,150.083,1328,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",11
290150,"Chirpoi","Caldera",2016,"Kuril Islands",46.532,150.871,742,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",9
290161,"Milna","Stratovolcano",1914,"Kuril Islands",46.815,151.786,1504,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",6
290200,"Ketoi","Stratovolcano",1960,"Kuril Islands",47.35,152.475,1172,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",5
290220,"Rasshua","Stratovolcano",1957,"Kuril Islands",47.77,153.02,956,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",2
290240,"Sarychev Peak","Stratovolcano",2019,"Kuril Islands",48.092,153.2,1496,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",21
290300,"Kharimkotan","Stratovolcano",1933,"Kuril Islands",49.12,154.508,1145,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",6
290310,"Tao-Rusyr Caldera","Stratovolcano",1952,"Kuril Islands",49.35,154.7,1325,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",2
290360,"Chikurachki","Stratovolcano",2016,"Kuril Islands",50.324,155.461,1781,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",26
290380,"Ebeko","Stratovolcano",2020,"Kuril Islands",50.686,156.014,1103,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",20
290390,"Alaid","Stratovolcano",2018,"Kuril Islands",50.861,155.565,2285,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",16
300020,"Koshelev","Stratovolcano",1690,"Kamchatka and Mainland Asia",51.356,156.753,1822,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",5
300021,"Yavinsky","Stratovolcano",-4050,"Kamchatka and Mainland Asia",51.533,156.629,646,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",1
300022,"Diky Greben","Lava dome",350,"Kamchatka and Mainland Asia",51.452,156.978,1040,"Subduction zone / Continental crust (>25 km)","Dacite",4
300023,"Kurile Lake","Caldera",-6440,"Kamchatka and Mainland Asia",51.45,157.12,81,"Subduction zone / Continental crust (>25 km)","Dacite",2
300050,"Ksudach","Stratovolcano",1907,"Kamchatka and Mainland Asia",51.844,157.572,1079,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",15
300053,"Khodutka","Stratovolcano",-300,"Kamchatka and Mainland Asia",52.062,157.711,2039,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
300060,"Mutnovsky","Complex",2000,"Kamchatka and Mainland Asia",52.449,158.196,2288,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",45
300070,"Gorely","Caldera",2010,"Kamchatka and Mainland Asia",52.559,158.03,1799,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",53
300080,"Opala","Caldera",1776,"Kamchatka and Mainland Asia",52.543,157.339,2439,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",7
300083,"Vilyuchik","Stratovolcano",-8050,"Kamchatka and Mainland Asia",52.7,158.28,2173,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
300084,"Barkhatnaya Sopka","Lava dome",-3550,"Kamchatka and Mainland Asia",52.802,158.24,874,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",1
300100,"Avachinsky","Stratovolcano",2001,"Kamchatka and Mainland Asia",53.256,158.836,2717,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",58
300122,"Kostakan","Pyroclastic cone",1350,"Kamchatka and Mainland Asia",53.83,158.05,1150,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",6
300123,"Bakening","Stratovolcano",-550,"Kamchatka and Mainland Asia",53.905,158.07,2278,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",5
